split_id,protocol,seed,fold,model_id,model_family,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline,knn,898,79,0.8403456826430151,0.9321494342928526,0.14191062786207534,0.4889157294818025,0.8288726682887266,0.7755903406698437,0.7548005908419497,0.7963800904977375,0.9190647482014388,0.38450047738151083,0.8767123287671232,0.6491441480580415,0.9453471196454948,0.35294117647058826,0.8173690932311622,0.4889157294818025,0.8288726682887266,0.7755903406698437,0.7548005908419497,0.7963800904977375,0.9190647482014388,0.4889157294818025,0.8288726682887266,0.7755903406698437,0.7548005908419497,0.7963800904977375,0.9190647482014388
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,knn_baseline,knn,898,83,0.8026226966186998,0.9096402406625501,0.15003162033600045,0.4221808448023103,0.7806943268416596,0.7431876056865196,0.6809453471196455,0.8054298642533937,0.9146825396825397,0.2551828777002739,0.8654738237243207,0.5772973659410361,0.9645494830132939,0.19004524886877827,0.7848557692307693,0.4221808448023103,0.7806943268416596,0.7431876056865196,0.6809453471196455,0.8054298642533937,0.9146825396825397,0.4221808448023103,0.7806943268416596,0.7431876056865196,0.6809453471196455,0.8054298642533937,0.9146825396825397
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,knn_baseline,knn,898,83,0.824765902270464,0.9316608980097942,0.14201435288294975,0.45128831585681783,0.7849829351535836,0.7605486007606088,0.6794682422451994,0.8416289592760181,0.9292929292929293,0.22148553147980873,0.8607427055702918,0.5675558258754019,0.9586410635155096,0.17647058823529413,0.7809867629362214,0.4658611319782624,0.7517985611510791,0.7702533802976934,0.6174298375184638,0.9230769230769231,0.960919540229885,0.4658611319782624,0.7517985611510791,0.7702533802976934,0.6174298375184638,0.9230769230769231,0.960919540229885
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,knn_baseline,knn,897,81,0.8183161004431315,0.9167160266684395,0.15099913913159355,0.48664308861109257,0.8604118993135011,0.757452665502887,0.8330871491875923,0.6818181818181818,0.889589905362776,0.40972118986158673,0.8740323715693173,0.679095608970055,0.9172821270310192,0.4409090909090909,0.8346774193548387,0.45281680896554294,0.7993311036789298,0.7598462468107963,0.7060561299852289,0.8136363636363636,0.9210019267822736,0.45281680896554294,0.7993311036789298,0.7598462468107963,0.7060561299852289,0.8136363636363636,0.9210019267822736
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,knn_baseline,knn,897,81,0.8285161583978153,0.9274674432377872,0.1469324239924011,0.471611582533312,0.8365079365079365,0.7608336233901845,0.7795857988165681,0.7420814479638009,0.9023972602739726,0.39055531324828124,0.8743927827897293,0.660546467107553,0.9319526627218935,0.3891402714932127,0.8235294117647058,0.4714846740751578,0.8180327868852459,0.7672728854855552,0.7381656804733728,0.7963800904977375,0.9172794117647058,0.4714846740751578,0.8180327868852459,0.7672728854855552,0.7381656804733728,0.7963800904977375,0.9172794117647058
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,knn_baseline,knn,897,80,0.8217154408417896,0.9298893171612829,0.1551782940808063,0.4535833463435502,0.8169243287225386,0.7559171597633136,0.742603550295858,0.7692307692307693,0.9077757685352622,0.37465457853890044,0.8638297872340426,0.6676383571179951,0.900887573964497,0.4343891402714932,0.829700272479564,0.4535833463435502,0.8169243287225386,0.7559171597633136,0.742603550295858,0.7692307692307693,0.9077757685352622,0.4535833463435502,0.8169243287225386,0.7559171597633136,0.742603550295858,0.7692307692307693,0.9077757685352622
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,knn_baseline,knn,845,21,0.7872058299162061,0.919764490960146,0.15887764676771274,0.39596287094868826,0.8141891891891891,0.7170098650977595,0.7626582278481012,0.6713615023474179,0.8731884057971014,0.011171261201137525,0.8548168249660787,0.500765139359363,0.9968354430379747,0.004694835680751174,0.7482185273159145,0.39596287094868826,0.8141891891891891,0.7170098650977595,0.7626582278481012,0.6713615023474179,0.8731884057971014,0.39596287094868826,0.8141891891891891,0.7170098650977595,0.7626582278481012,0.6713615023474179,0.8731884057971014
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,knn_baseline,knn,1024,15,0.6549927037731916,0.8086532784551064,0.21038688361162228,0.26650352904386615,0.682258064516129,0.6484734777417704,0.573170731707317,0.7237762237762237,0.8426294820717132,-0.019463324292396722,0.8370244179443498,0.4993224932249323,0.9986449864498645,0.0,0.7204301075268817,0.26650352904386615,0.682258064516129,0.6484734777417704,0.573170731707317,0.7237762237762237,0.8426294820717132,0.26650352904386615,0.682258064516129,0.6484734777417704,0.573170731707317,0.7237762237762237,0.8426294820717132
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,knn_baseline,knn,863,20,0.6331710029910869,0.8199503935573875,0.17728244011786976,0.19219219193105164,0.8494699646643109,0.5758180397108115,0.9078549848942599,0.24378109452736318,0.798140770252324,0.04311985780719958,0.8678500986193294,0.5034645503599826,0.9969788519637462,0.009950248756218905,0.7683352735739232,0.1112585234841034,0.47896440129449835,0.5607085418827313,0.33534743202416917,0.7860696517412935,0.8377358490566038,0.1112585234841034,0.47896440129449835,0.5607085418827313,0.33534743202416917,0.7860696517412935,0.8377358490566038
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,knn_baseline,knn,884,16,0.654813557865796,0.8444831598184428,0.17567213423831074,0.21772675155771787,0.754257907542579,0.6244737520405532,0.6858407079646017,0.5631067961165048,0.8378378378378378,0.0,0.8681177976952625,0.5,1.0,0.0,0.7669683257918553,0.21772675155771787,0.754257907542579,0.6244737520405532,0.6858407079646017,0.5631067961165048,0.8378378378378378,0.21772675155771787,0.754257907542579,0.6244737520405532,0.6858407079646017,0.5631067961165048,0.8378378378378378
