protocol,model_a,model_b,paired_fold_count,delta_roc_auc,wilcoxon_p_roc_auc,delta_pr_auc,wilcoxon_p_pr_auc,delta_brier,wilcoxon_p_brier,delta_mcc_at_mcc,wilcoxon_p_mcc_at_mcc,delta_f1_at_f1,wilcoxon_p_f1_at_f1,delta_balanced_accuracy_at_balanced_accuracy,wilcoxon_p_balanced_accuracy_at_balanced_accuracy,caveat
extrapolation_grouped,knn_baseline,knn_distance_inverse,15,0.025589104435794117,0.072998046875,0.01820283770580023,0.03533935546875,-0.0391202857958771,0.0001220703125,0.003288490146763991,0.890380859375,-0.0015315185500492637,0.44126813332892967,-0.0014908088929552162,1.0,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,knn_baseline,knn_distance_sqrt,15,0.0018003630237078071,0.890380859375,0.001695306600366786,0.67877197265625,-0.03448613566115086,0.00018310546875,0.018003023271996123,0.846923828125,-0.001924540245415344,0.3328797545683888,0.01151173734200129,0.97796630859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,knn_baseline,knn_weighted_inverse,15,0.03422245944058321,0.02154541015625,0.021555209963995188,0.01025390625,-0.04858924070655812,6.103515625e-05,0.02712183596439271,0.76153564453125,-0.0022002248118451638,0.08583095844428565,0.008057139062188213,0.7197265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,knn_baseline,knn_weighted_sqrt,15,-0.003680876772507791,0.76153564453125,0.0006662832645109695,0.890380859375,-0.034311994786605855,6.103515625e-05,0.003129433253321262,0.7197265625,0.0007414132805022122,0.779434528427275,-0.0016488334891286538,0.67877197265625,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,knn_distance_inverse,knn_distance_sqrt,15,-0.02378874141208631,0.03533935546875,-0.016507531105433446,0.041259765625,0.0046341501347262355,0.48870849609375,0.014714533125232142,0.5994873046875,-0.0003930216953660803,1.0,0.013002546234956506,0.45428466796875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,knn_distance_inverse,knn_weighted_inverse,15,0.008633355004789093,0.24549352944751968,0.0033523722581949578,0.43262594902013973,-0.00946895491068102,0.15781136896845493,0.023833345817628724,0.25238037109375,-0.0006687062617959002,0.27332167829229814,0.009547947955143429,0.359130859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,knn_distance_inverse,knn_weighted_sqrt,15,-0.02926998120830191,0.012451171875,-0.01753655444128926,0.041259765625,0.0048082910092712445,0.7197265625,-0.00015905689344272166,0.93408203125,0.002272931830551476,1.0,-0.0001580245961734376,0.890380859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,knn_distance_sqrt,knn_weighted_inverse,15,0.03242209641687541,0.01507568359375,0.019859903363628403,0.02154541015625,-0.014103105045407256,0.02557373046875,0.009118812692396583,0.7197265625,-0.0002756845664298198,0.17971249487899976,-0.003454598279813078,0.389404296875,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,knn_distance_sqrt,knn_weighted_sqrt,15,-0.0054812397962155975,0.45428466796875,-0.0010290233358558165,0.93408203125,0.00017414087454500904,0.803955078125,-0.014873590018674863,0.5614013671875,0.0026659535259175565,0.7150006546880893,-0.013160570831129944,0.97796630859375,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
extrapolation_grouped,knn_weighted_inverse,knn_weighted_sqrt,15,-0.037903336213091006,0.0042724609375,-0.02088892669948422,0.012451171875,0.014277245919952265,0.083251953125,-0.02399240271107145,0.67877197265625,0.002941638092347376,0.27332167829229814,-0.009705972551316866,0.803955078125,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_baseline,knn_distance_inverse,3,0.012410577229414596,0.5,0.0013431431275599353,1.0,-0.03740453928870419,0.25,0.05085296181502582,0.25,-0.0008195527127149438,1.0,0.024079260155374538,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_baseline,knn_distance_sqrt,3,-0.0034098175118246385,0.75,-0.004991053069732576,0.25,-0.025688363149335314,0.25,0.009538677906356744,0.75,0.002371453776787454,1.0,-0.006270455006226953,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_baseline,knn_weighted_inverse,3,0.012798233712300896,0.5,0.0025458777555463774,0.75,-0.0361249856762689,0.25,0.05811329394201679,0.25,0.00021924423612940114,1.0,0.029342699470425632,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_baseline,knn_weighted_sqrt,3,-0.003317359212745452,0.75,-0.0020712065599657326,0.25,-0.026689474760179254,0.25,-0.00682279944529877,0.75,0.004005192837297204,0.5,-0.00516429728350835,0.75,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_distance_inverse,knn_distance_sqrt,3,-0.015820394741239235,0.25,-0.006334196197292512,0.5,0.011716176139368881,0.25,-0.04131428390866907,0.25,0.003191006489502398,0.75,-0.030349715161601492,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_distance_inverse,knn_weighted_inverse,3,0.0003876564828863005,1.0,0.0012027346279864422,0.5,0.001279553612435295,1.0,0.007260332126990972,0.5,0.001038796948844345,1.0,0.005263439315051095,0.75,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_distance_inverse,knn_weighted_sqrt,3,-0.015727936442160046,0.5,-0.0034143496875256676,0.5,0.010715064528524942,0.5,-0.05767576126032459,0.25,0.004824745550012148,0.25,-0.029243557438882888,0.5,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
interpolation_holdout,knn_distance_sqrt,knn_weighted_inverse,3,0.016208051224125535,0.25,0.0075369308252789535,0.5,-0.010436622526933587,0.25,0.048574616035660045,0.25,-0.002152209540658053,0.75,0.035613154476652586,0.25,Exploratory paired test over identical outer folds; multiplicity is not adjusted.
