configuration_id,inner_fold,parameters,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision,split_id,protocol,seed,fold,model_id
0,0,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 2, ""weights"": ""uniform""}",0.7919989477244541,0.916117024354854,0.15170058479532164,0.24614551175562552,0.8503611971104231,0.5974407155473712,0.9135254988913526,0.28135593220338984,0.7953667953667953,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
0,1,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 2, ""weights"": ""uniform""}",0.7806424121755132,0.9150226999948112,0.15351571906354514,0.20750621782654957,0.8497198166072338,0.576251564927523,0.9246119733924612,0.22789115646258504,0.7860508953817154,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
0,2,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 2, ""weights"": ""uniform""}",0.7772316243570598,0.9126484405043804,0.15618996655518394,0.26558021659410075,0.8297988036976618,0.6270306348703562,0.8458980044345898,0.40816326530612246,0.8143009605122732,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
0,mean,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 2, ""weights"": ""uniform""}",0.7832909947523424,0.9145960549513484,0.1538020901380169,0.2397439820587586,0.8432932724717729,0.6002409717817502,0.8946784922394678,0.30580345132403247,0.7985728837535947,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
1,0,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 2, ""weights"": ""distance""}",0.8074937051373595,0.9234786300774772,0.156895246789273,0.3458310573911934,0.8517520215633423,0.6616445563531136,0.8758314855875832,0.44745762711864406,0.8289611752360966,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
1,1,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 2, ""weights"": ""distance""}",0.802822902997119,0.917463795927246,0.15080613919583413,0.381062057432237,0.8638547784303257,0.6729376894882121,0.8968957871396895,0.4489795918367347,0.8331616889804325,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
1,2,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 2, ""weights"": ""distance""}",0.7939122433895953,0.9110986565884698,0.15743233201411705,0.38026252935342253,0.8524410312671421,0.6858115751843975,0.8614190687361419,0.5102040816326531,0.8436482084690554,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
1,mean,"{""leaf_size"": 30, ""n_neighbors"": 25, ""p"": 2, ""weights"": ""distance""}",0.8014096171746913,0.9173470275310643,0.15504457266640806,0.3690518813922843,0.8560159437536033,0.6734646070085745,0.8780487804878049,0.46888043352934394,0.8352570242285281,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
2,0,"{""leaf_size"": 60, ""n_neighbors"": 9, ""p"": 2, ""weights"": ""distance""}",0.8062535232440152,0.9196389633469506,0.16420384272371616,0.35972802590289965,0.8501362397820164,0.6730504716449321,0.8647450110864745,0.48135593220338985,0.8360128617363344,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
2,1,"{""leaf_size"": 60, ""n_neighbors"": 9, ""p"": 2, ""weights"": ""distance""}",0.8118504608051647,0.9233984847688239,0.1571319290946718,0.38778016406414595,0.8572984749455338,0.6862527716186253,0.8725055432372506,0.5,0.8426124197002142,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
2,2,"{""leaf_size"": 60, ""n_neighbors"": 9, ""p"": 2, ""weights"": ""distance""}",0.8010939409023032,0.9137298566861285,0.16470552424995943,0.36322671970055803,0.8478857770455793,0.6779379157427938,0.8558758314855875,0.5,0.8400435255712732,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
2,mean,"{""leaf_size"": 60, ""n_neighbors"": 9, ""p"": 2, ""weights"": ""distance""}",0.806399308317161,0.9189224349339676,0.1620137653561158,0.3702449698892012,0.8517734972577098,0.6790803863354503,0.8643754619364376,0.49378531073446325,0.8395562690026073,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
3,0,"{""leaf_size"": 30, ""n_neighbors"": 60, ""p"": 1, ""weights"": ""uniform""}",0.771250328836108,0.9113316456065331,0.15622110832637148,0.18011490819204867,0.857707509881423,0.5506445187718441,0.9623059866962306,0.13898305084745763,0.7736185383244206,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
3,1,"{""leaf_size"": 30, ""n_neighbors"": 60, ""p"": 1, ""weights"": ""uniform""}",0.7893814953919482,0.9205058807367064,0.15103284095131922,0.17181920720296706,0.861328125,0.5399339336621567,0.9778270509977827,0.10204081632653061,0.7696335078534031,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
3,2,"{""leaf_size"": 30, ""n_neighbors"": 60, ""p"": 1, ""weights"": ""uniform""}",0.7789964100939711,0.9168666421148525,0.1537767094017094,0.2428184690603517,0.8449086161879895,0.6015091180596407,0.8968957871396895,0.30612244897959184,0.7986179664363278,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
3,mean,"{""leaf_size"": 30, ""n_neighbors"": 60, ""p"": 1, ""weights"": ""uniform""}",0.7798760781073425,0.916234722819364,0.1536768862264667,0.19825086148512247,0.8546480836898042,0.5640291901645472,0.9456762749445676,0.1823821053845267,0.7806233375380506,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
4,0,"{""leaf_size"": 30, ""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.7932334924273741,0.9181696583359709,0.15614220737027756,0.2392193855151378,0.8392198207696363,0.6039535495509039,0.8824833702882483,0.3254237288135593,0.8,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
4,1,"{""leaf_size"": 30, ""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.7944552543855679,0.9210604602804219,0.1521776291341509,0.25230573949712404,0.8479166666666667,0.6042807366849179,0.9024390243902439,0.30612244897959184,0.7996070726915521,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
4,2,"{""leaf_size"": 30, ""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.7721616362731345,0.9063023323236041,0.16091044221479003,0.25549424941342785,0.8317152103559871,0.6195604627660376,0.8547671840354767,0.3843537414965986,0.8098739495798319,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
4,mean,"{""leaf_size"": 30, ""n_neighbors"": 15, ""p"": 2, ""weights"": ""uniform""}",0.7866167943620255,0.9151774836466657,0.15641009290640617,0.24900645814189656,0.8396172325974302,0.6092649163339531,0.8798965262379896,0.33863330642991657,0.803160340757128,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
5,0,"{""leaf_size"": 60, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.7907380961328874,0.9037100260179219,0.1750382513852342,0.38353868255755597,0.8530701754385965,0.6871960614829569,0.8625277161862528,0.511864406779661,0.8438177874186551,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
5,1,"{""leaf_size"": 60, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.791791106686577,0.9034803825216229,0.16797094067381044,0.39331534155261133,0.8533627342888643,0.6943526856418842,0.8580931263858093,0.5306122448979592,0.8486842105263158,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
5,2,"{""leaf_size"": 60, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.7885575516237537,0.9005021792984801,0.17303009405385064,0.3880458854353471,0.8490566037735849,0.6944658129327119,0.8481152993348116,0.5408163265306123,0.85,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
5,mean,"{""leaf_size"": 60, ""n_neighbors"": 5, ""p"": 2, ""weights"": ""distance""}",0.7903622514810728,0.9025641959460082,0.1720130953709651,0.38829996984850484,0.8518298378336819,0.6920048533525177,0.8562453806356246,0.5277643260694108,0.847500665981657,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
6,0,"{""leaf_size"": 60, ""n_neighbors"": 40, ""p"": 1, ""weights"": ""uniform""}",0.7717031831335261,0.9096555580864063,0.15662593984962406,0.18664789584494887,0.850956696878147,0.5633188019091284,0.9368070953436807,0.18983050847457628,0.7795202952029521,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
6,1,"{""leaf_size"": 60, ""n_neighbors"": 40, ""p"": 1, ""weights"": ""uniform""}",0.7789700137261113,0.9172511400722869,0.15348505434782608,0.23875366099409584,0.8604417670682731,0.578796928971145,0.950110864745011,0.20748299319727892,0.7862385321100918,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
6,2,"{""leaf_size"": 60, ""n_neighbors"": 40, ""p"": 1, ""weights"": ""uniform""}",0.7742714602470698,0.9141918660696814,0.1545255016722408,0.2333461203506767,0.8473874806001035,0.5934469131333242,0.9079822616407982,0.2789115646258503,0.7943743937924346,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
6,mean,"{""leaf_size"": 60, ""n_neighbors"": 40, ""p"": 1, ""weights"": ""uniform""}",0.7749815523689024,0.9136995214094582,0.15487883195656363,0.21958255906324045,0.8529286481821745,0.5785208813378658,0.9316334072431633,0.2254083554325685,0.786711073701826,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
7,0,"{""leaf_size"": 30, ""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.7856026156563569,0.8991986968200287,0.17502311158701175,0.37432192716173185,0.8508771929824561,0.6826975835243715,0.8603104212860311,0.5050847457627119,0.841648590021692,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
7,1,"{""leaf_size"": 30, ""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.7901564173341178,0.90224913463857,0.16783604146946118,0.4083125058441104,0.859802847754655,0.6987495663453851,0.8702882483370288,0.5272108843537415,0.8495670995670995,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
7,2,"{""leaf_size"": 30, ""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.788548124349518,0.8993714453064379,0.17157608958504472,0.3846270517975011,0.8527472527472527,0.6886586120035598,0.8603104212860311,0.5170068027210885,0.8453159041394336,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
7,mean,"{""leaf_size"": 30, ""n_neighbors"": 5, ""p"": 1, ""weights"": ""distance""}",0.7881023857799976,0.9002730922550123,0.17147841421383925,0.38908716160111445,0.8544757644947879,0.6900352539577721,0.8636363636363636,0.5164341442791806,0.8455105312427417,interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline
