model_id,model_family,protocol,fold_count,sample_count,paper_count_sum,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,mcc_at_mcc_mean,mcc_at_mcc_std,f1_at_mcc_mean,f1_at_mcc_std,balanced_accuracy_at_mcc_mean,balanced_accuracy_at_mcc_std,sensitivity_at_mcc_mean,sensitivity_at_mcc_std,specificity_at_mcc_mean,specificity_at_mcc_std,precision_at_mcc_mean,precision_at_mcc_std,mcc_at_f1_mean,mcc_at_f1_std,f1_at_f1_mean,f1_at_f1_std,balanced_accuracy_at_f1_mean,balanced_accuracy_at_f1_std,sensitivity_at_f1_mean,sensitivity_at_f1_std,specificity_at_f1_mean,specificity_at_f1_std,precision_at_f1_mean,precision_at_f1_std,mcc_at_balanced_accuracy_mean,mcc_at_balanced_accuracy_std,f1_at_balanced_accuracy_mean,f1_at_balanced_accuracy_std,balanced_accuracy_at_balanced_accuracy_mean,balanced_accuracy_at_balanced_accuracy_std,sensitivity_at_balanced_accuracy_mean,sensitivity_at_balanced_accuracy_std,specificity_at_balanced_accuracy_mean,specificity_at_balanced_accuracy_std,precision_at_balanced_accuracy_mean,precision_at_balanced_accuracy_std,mcc_at_youden_j_mean,mcc_at_youden_j_std,f1_at_youden_j_mean,f1_at_youden_j_std,balanced_accuracy_at_youden_j_mean,balanced_accuracy_at_youden_j_std,sensitivity_at_youden_j_mean,sensitivity_at_youden_j_std,specificity_at_youden_j_mean,specificity_at_youden_j_std,precision_at_youden_j_mean,precision_at_youden_j_std
knn_baseline,knn,extrapolation_grouped,15,13461,261,0.6651463609558912,0.07600699073765915,0.847754513258803,0.04991724344281854,0.18621895749734887,0.022795676304594902,0.19826322518471967,0.11994091811098123,0.7417436868552016,0.08800004725525615,0.6066553286959954,0.06692970503928986,0.6930474832762414,0.14357152876198764,0.5202631741157493,0.18157599207059916,0.8189727100066534,0.04740117175957901,0.008279959774472793,0.04788506982668301,0.858289601212103,0.013126805662774393,0.49993805603936703,0.006793640623601915,0.99472870907564,0.014347550642378757,0.0051474030030939305,0.008085607954441996,0.7550673275984306,0.019457720481332697,0.20726785675643028,0.11552944818570049,0.6995236581339181,0.10862638773797756,0.6142670798594255,0.06257914521999695,0.619109452254055,0.1509986645987656,0.6094247074647956,0.1437235028735311,0.8326246185505509,0.04196846228241808,0.20726785675643028,0.11552944818570049,0.6995236581339181,0.10862638773797756,0.6142670798594255,0.06257914521999695,0.619109452254055,0.1509986645987656,0.6094247074647956,0.1437235028735311,0.8326246185505509,0.04196846228241808
knn_baseline,knn,interpolation_holdout,3,2694,245,0.8245063506597958,0.01608825577081825,0.9275071149288087,0.0058759122193204,0.15149586503620047,0.008307659058675334,0.47456253470369303,0.016837236161586774,0.8201897908826657,0.015177603381888323,0.768435405067606,0.007320619428826921,0.741999015263417,0.026104807763292125,0.7948717948717948,0.015890880471874414,0.9172927762219875,0.0037672556767596368,0.3450821655048515,0.0349333967569571,0.8658672024955744,0.010509767064176959,0.6400665254171206,0.014897165687887907,0.9241752831117677,0.027089206703060385,0.3559577677224736,0.04532422081845165,0.8147956881996046,0.0077154218663226665,0.47311131935250134,0.01714958997045775,0.818000494146735,0.017352724549352997,0.7679742275276205,0.007293444471282315,0.7380600689315608,0.03028365202300696,0.7978883861236802,0.020403845035397696,0.9180671132786594,0.004987723626946348,0.47311131935250134,0.01714958997045775,0.818000494146735,0.017352724549352997,0.7679742275276205,0.007293444471282315,0.7380600689315608,0.03028365202300696,0.7978883861236802,0.020403845035397696,0.9180671132786594,0.004987723626946348
knn_baseline,knn,interpolation_stratified,15,13461,1213,0.8223540076075114,0.016438473184736735,0.9251101592974282,0.009818081705209432,0.1481359781789306,0.008772121877688064,0.46078390265247915,0.027422035172020586,0.8075803919554875,0.029516221830251866,0.7607472701120481,0.013829242462763031,0.723536224030486,0.05580954083474477,0.7979583161936105,0.05820340660606646,0.9177360624727823,0.016905598189870846,0.3239109095034783,0.07359349085900542,0.867500932188631,0.007064708380744927,0.6232708568714838,0.04649873044339393,0.9391030739513866,0.02860360194002501,0.3074386397915809,0.11764695240651965,0.8071091638705924,0.02206913174136911,0.45159535339534085,0.027506836475689293,0.7841276348201784,0.022739616348405222,0.7600217883446394,0.01566380723591932,0.6791948176052254,0.03838081466538426,0.8408487590840533,0.043960266809423845,0.9297161103380559,0.015976576888950017,0.45159535339534085,0.027506836475689293,0.7841276348201784,0.022739616348405222,0.7600217883446394,0.01566380723591932,0.6791948176052254,0.03838081466538426,0.8408487590840533,0.043960266809423845,0.9297161103380559,0.015976576888950017
knn_baseline,knn,lopo,87,4487,87,0.6305091805863503,0.21711314748875216,0.795661874807676,0.1852365422021992,0.1205949678132853,0.1272116060740453,0.05409502433468526,0.16642396058599038,0.7120851559245919,0.32432762695597733,0.660259652301915,0.2766272108777594,0.7026446134785614,0.358959087963852,0.4604195033808505,0.42224318361385527,0.8746571597529967,0.2073874735999187,0.00875971108239581,0.0670453662597345,0.9060425463948579,0.130034319194045,0.7487146116333345,0.24797890250838953,0.9963575027616887,0.01871519831036253,0.016354723707664887,0.06480314813875948,0.8533333751022459,0.19301220032598712,0.05748665422768881,0.15972310736946516,0.6842945749823371,0.3424919033682774,0.6475546847465243,0.2764087435421355,0.6626453725247987,0.3726100047823339,0.5174105888972668,0.42798884326665015,0.8858074269380003,0.19710187990951342,0.05748665422768881,0.15972310736946516,0.6842945749823371,0.3424919033682774,0.6475546847465243,0.2764087435421355,0.6626453725247987,0.3726100047823339,0.5174105888972668,0.42798884326665015,0.8858074269380003,0.19710187990951342
knn_distance_inverse,knn,extrapolation_grouped,15,13461,261,0.6395572565200972,0.04351255416865607,0.8295516755530029,0.03356800820014109,0.22533924329322594,0.03175798833303017,0.1949747350379557,0.06606691305577894,0.6971251384537506,0.09667723205997335,0.6066770846212042,0.03680770886114853,0.6193810388373661,0.15190070536490974,0.5939731304050423,0.18946928330081517,0.835286361041381,0.04694380348892543,0.006363486515164809,0.017961766638357746,0.8598211197621524,0.012872621823795914,0.5010349313531608,0.003551412621617791,0.9980881048290413,0.007003562625449903,0.003981757877280266,0.014097009396619972,0.7554640928101004,0.020206974876471846,0.20714289139374398,0.0640074941442594,0.6853007507339963,0.08624982743167997,0.6157578887523807,0.03533685900043485,0.5926016478705127,0.12780532814066214,0.6389141296342484,0.1539946562585227,0.84311889861884,0.04415573906083257,0.20714289139374398,0.0640074941442594,0.6853007507339963,0.08624982743167997,0.6157578887523807,0.03533685900043485,0.5926016478705127,0.12780532814066214,0.6389141296342484,0.1539946562585227,0.84311889861884,0.04415573906083257
knn_distance_inverse,knn,interpolation_holdout,3,2694,245,0.8120957734303812,0.009138714552817347,0.9261639718012487,0.005269741644142309,0.18890040432490465,0.004686304622358265,0.42370957288866723,0.011068092617517896,0.8149140645543209,0.014436214309305568,0.7364214405225787,0.011308316526320366,0.7503692762186115,0.03482961926898556,0.722473604826546,0.05693691127655167,0.8929280980111863,0.015557146342496872,0.31166791798774107,0.014852843704407785,0.8666867552082893,0.007756033696969671,0.6114367574094745,0.020611424368172707,0.9453471196454949,0.0326637287850753,0.27752639517345395,0.07328826915991758,0.8006824790913276,0.011094579854034768,0.4246888427113476,0.03181329084185905,0.782884146473038,0.026833589756773343,0.743894967372246,0.0172250504425518,0.6853766617429837,0.04104119346957104,0.8024132730015082,0.028736891226632918,0.914116452355394,0.009284796199386321,0.4246888427113476,0.03181329084185905,0.782884146473038,0.026833589756773343,0.743894967372246,0.0172250504425518,0.6853766617429837,0.04104119346957104,0.8024132730015082,0.028736891226632918,0.914116452355394,0.009284796199386321
knn_distance_inverse,knn,interpolation_stratified,15,13461,1213,0.8250998548970911,0.017710007196619585,0.9298713401893182,0.010307678077083958,0.18006800667263437,0.01065069399804665,0.4622991966101431,0.03244276035354876,0.8016073918561176,0.026220574388590486,0.7633827772958688,0.021038082985547414,0.7103292458024874,0.050934073185177876,0.8164363087892501,0.07520699817543523,0.9241450564180967,0.024285376920935863,0.17996679637615726,0.1393767269899394,0.8615773850177397,0.005223668967843823,0.563491524894808,0.05325741581227819,0.9633398302640434,0.03304498919775764,0.16364321952557248,0.13770659908516586,0.7805456387112744,0.022938775274629477,0.4578176662010584,0.031698918249708746,0.7871369842622411,0.024282428605718533,0.7634212695966374,0.018429625966659594,0.6829401670556084,0.04064097603350672,0.8439023721376664,0.04915367042028182,0.9314472691213098,0.01778890323807757,0.4578176662010584,0.031698918249708746,0.7871369842622411,0.024282428605718533,0.7634212695966374,0.018429625966659594,0.6829401670556084,0.04064097603350672,0.8439023721376664,0.04915367042028182,0.9314472691213098,0.01778890323807757
knn_distance_inverse,knn,lopo,87,4487,87,0.5991495359367515,0.20456832670176175,0.7750146115686133,0.18786518479367934,0.17002432518826144,0.18079714988690299,0.05555423251129156,0.17856763180530447,0.7455717915090669,0.3224251941754217,0.7082737804274849,0.26830671739591394,0.7419411808200461,0.3560296672420766,0.491172683512457,0.4318646521892015,0.8958587406116004,0.18327997888837547,-0.006058790677607522,0.037396478040956645,0.903890310570505,0.1362192267716718,0.7448164757092485,0.25424108777210863,0.9933897310373456,0.04979402530811188,0.003935458480913027,0.025122249349530515,0.8509894259890001,0.19562743259159512,0.04973595363694695,0.17053948457950216,0.7268848726507211,0.33091518516219537,0.6985946796169404,0.2678558175144531,0.7179692517445544,0.36434866060175636,0.5106848913687271,0.4375614159529191,0.8997563198955283,0.18404995982674138,0.04973595363694695,0.17053948457950216,0.7268848726507211,0.33091518516219537,0.6985946796169404,0.2678558175144531,0.7179692517445544,0.36434866060175636,0.5106848913687271,0.4375614159529191,0.8997563198955283,0.18404995982674138
knn_distance_sqrt,knn,extrapolation_grouped,15,13461,261,0.6633459979321833,0.05943798592707596,0.8460592066584363,0.039269552875278585,0.22070509315849968,0.037051822333037124,0.18026020191272357,0.12664896766890835,0.7042245246417942,0.08618511836680683,0.6022657103995176,0.07245236846099093,0.6299935177287289,0.1415724530596745,0.574537903070306,0.22800523881428558,0.8298469198326017,0.0594498938940228,-0.0025433489895774755,0.006715876471827677,0.8602141414575182,0.013022584351955439,0.4998977553178987,0.00026993498195066173,0.9997955106357974,0.0005398699639013235,0.0,0.0,0.7550462058170668,0.019897216342817242,0.18071027861347297,0.12614080856178903,0.70957937549232,0.07457030597838003,0.6027553425174241,0.07205716666131808,0.6360375898078696,0.12980919569092048,0.5694730952269783,0.22468424772019238,0.8295553322328768,0.05953000778126825,0.18071027861347297,0.12614080856178903,0.70957937549232,0.07457030597838003,0.6027553425174241,0.07205716666131808,0.6360375898078696,0.12980919569092048,0.5694730952269783,0.22468424772019238,0.8295553322328768,0.05953000778126825
knn_distance_sqrt,knn,interpolation_holdout,3,2694,245,0.8279161681716204,0.016026525116855695,0.9324981679985411,0.009375204519314452,0.1771842281855358,0.0068587335325815775,0.4650238567973362,0.0423194379092803,0.8112947948256938,0.03036302200732122,0.7632967287585412,0.026182389747462568,0.7287050713934023,0.05675492369239217,0.7978883861236802,0.0797116757871723,0.9182860218694945,0.024611490346874834,0.27039481237328267,0.07650727561969575,0.8634957487187869,0.013630171003148306,0.5884881619958516,0.02652778915794418,0.9522402757262433,0.028271545484895286,0.22473604826546004,0.05657616691858539,0.790131627993725,0.011461474617077333,0.47578568137823196,0.03171602218441744,0.7956833688303874,0.017482405318193173,0.7742446825338475,0.01752558270954158,0.6917774495322502,0.022611447569089196,0.856711915535445,0.014545476260924528,0.9365633465279415,0.0076278772288460505,0.47578568137823196,0.03171602218441744,0.7956833688303874,0.017482405318193173,0.7742446825338475,0.01752558270954158,0.6917774495322502,0.022611447569089196,0.856711915535445,0.014545476260924528,0.9365633465279415,0.0076278772288460505
