split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,knn_baseline,0.8029053569726584,0.2625422325954551,0.8029053569726584,0.8029053569726584
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,knn_baseline,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,knn_baseline,0.8,0.4,0.8666666666666667,0.8666666666666667
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,knn_baseline,0.6934948924806056,0.328633974325366,0.9075109707369717,0.9075109707369717
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,knn_baseline,0.7915700617808049,0.3430780905791248,0.8499184710719687,0.8499184710719687
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,knn_baseline,0.771370400694625,0.3865406917093282,0.771370400694625,0.771370400694625
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,knn_baseline,0.7643077871751157,0.4019780016810851,0.7643077871751157,0.7643077871751157
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,knn_baseline,0.9102893311323946,1.0591050542293682e-05,0.9102893311323946,0.9102893311323946
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,knn_baseline,0.6650119378261529,0.2447334763960208,0.9432769508857173,0.9432769508857173
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,knn_baseline,0.7666666666666667,0.3,0.7666666666666667,0.7666666666666667
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,knn_baseline,0.7734683980964031,0.29586348636122733,0.7734683980964031,0.7734683980964031
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,knn_baseline,0.8143763685389552,0.43758750173540073,0.8277004479403164,0.8277004479403164
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,knn_baseline,0.8888888888888888,0.2222222222222222,0.8888888888888888,0.8888888888888888
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,knn_baseline,0.8,0.3333333333333333,0.8,0.8
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,knn_baseline,0.8555458650160355,0.2843528850155445,0.8826838558373749,0.8826838558373749
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,knn_baseline,0.6788071134788276,0.24825345837681873,0.8338176007702646,0.8338176007702646
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,knn_baseline,0.7807639369788214,0.353056254168193,0.8908678539467063,0.8908678539467063
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,knn_baseline,0.8781505893474042,0.0,0.8781505893474042,0.8781505893474042
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,knn_baseline,0.8,0.225,0.8,0.8
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,knn_baseline,0.8501907386312314,0.07915370867243386,0.8501907386312314,0.8501907386312314
