configuration_id,inner_fold,parameters,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision,candidate_id,model_id,model_family,protocol,split_id
0,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8225280919989477,0.9215777071413315,0.1541622132062912,0.4351308070659745,0.8617256637168141,0.7165639445300462,0.8636363636363636,0.5694915254237288,0.8598233995584988,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8737970798075329,0.9584747293118081,0.14000241458415985,0.4215375906359129,0.8740031897926634,0.688647299274477,0.9113082039911308,0.46598639455782315,0.839632277834525,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8539168438994224,0.9465771264138262,0.15975120663642883,0.45097346871690974,0.8670711527854384,0.7231134138799644,0.8713968957871396,0.5748299319727891,0.862788144895719,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,mean,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8500806719019676,0.9422098542889885,0.1513052781422933,0.43588062213959905,0.8676000020983053,0.7094415525614958,0.8821138211382115,0.5367692839847803,0.8540812740962477,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,0,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8180822278176556,0.9254106048216504,0.14805078506469727,0.40954397433865214,0.8491306786315199,0.7094535683415386,0.8392461197339246,0.5796610169491525,0.8592508513053349,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,1,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8566752643407696,0.9514534631013942,0.13396215438842773,0.43529302061163416,0.8731182795698925,0.70181154501712,0.9002217294900222,0.5034013605442177,0.8475991649269311,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,2,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8536170565787291,0.944304809364775,0.13259486854076385,0.4468456003268447,0.8667400881057269,0.7202663770608022,0.8725055432372506,0.5680272108843537,0.8610503282275711,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,mean,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8427915162457181,0.9403896257626064,0.1382026026646296,0.43056086509237695,0.8629963487690464,0.7105104968064869,0.8706577974870658,0.550363196125908,0.8559667814866123,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8106993874253071,0.9125410673901382,0.17110542953014374,0.4137694412263663,0.8593406593406593,0.7029726784170769,0.8669623059866962,0.5389830508474577,0.8518518518518519,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.867790020664585,0.9557191979395077,0.15352416038513184,0.45756004563679,0.867109634551495,0.7282531637932335,0.8680709534368071,0.5884353741496599,0.8661504424778761,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8575595426640723,0.9489145832989619,0.16006021201610565,0.4511149228739933,0.8612975391498882,0.729550356728057,0.8536585365853658,0.6054421768707483,0.8690744920993227,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,mean,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8453496502513215,0.9390582828762026,0.16156326731046042,0.4408148032457165,0.8625826110140142,0.7202587329794558,0.8628972653362896,0.577620200622622,0.8623589288096835,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
3,0,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.7518771844112895,0.9000419631791802,0.17118126153945923,0.0,0.859456884230586,0.5,1.0,0.0,0.7535505430242272,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
3,1,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.7102131318159193,0.8904518773910515,0.17184042930603027,0.0,0.8598665395614872,0.5,1.0,0.0,0.754180602006689,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
3,2,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.7395131001402779,0.899213357665742,0.1708608865737915,0.0,0.8598665395614872,0.5,1.0,0.0,0.754180602006689,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
3,mean,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.7338678054558289,0.8965690660786579,0.17129419247309366,0.0,0.8597299877845201,0.5,1.0,0.0,0.7539705823458686,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
4,0,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.819140140553948,0.9239288611008434,0.15395282208919525,0.39584162246940496,0.859009254218835,0.6899037919500921,0.8747228381374723,0.5050847457627119,0.8438502673796792,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
4,1,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.869239935442026,0.9567126826808379,0.14322598278522491,0.44563464930721264,0.8735135135135135,0.7097983317495513,0.8957871396895787,0.5238095238095238,0.8523206751054853,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
4,2,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.8546333167413307,0.9452509402290031,0.14360259473323822,0.456371530476338,0.8713738368910783,0.7218539300420833,0.8824833702882483,0.5612244897959183,0.8605405405405405,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
4,mean,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64, 32], ""learning_rate_init"": 0.001}",0.8476711309124348,0.9419641613368949,0.1469271332025528,0.43261593408431853,0.8679655348744756,0.7071853512472422,0.8843311160384331,0.5300395864560513,0.8522371610085684,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
5,0,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8187511744146718,0.9286509884236728,0.1454429179430008,0.4102970694625504,0.8605795516675779,0.6989646360254049,0.8725055432372506,0.5254237288135594,0.8489751887810141,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
5,1,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8558154969304794,0.9505503301474942,0.13354632258415222,0.4566547959123996,0.8746608790016278,0.7171930856599846,0.893569844789357,0.5408163265306123,0.8565356004250797,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
5,2,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8412635564203509,0.9426188484039311,0.1417548656463623,0.37114890468627054,0.8633705475810739,0.6660972593028343,0.9002217294900222,0.43197278911564624,0.8294177732379979,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
5,mean,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 32, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8386100759218341,0.9406067223250326,0.14024803539117178,0.4127002566870735,0.8662036594167599,0.6940849936627412,0.8887657058388766,0.4994042814866059,0.8449761874813638,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
6,0,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.003}",0.7550828666992371,0.8999472704068825,0.16587655246257782,0.0,0.859456884230586,0.5,1.0,0.0,0.7535505430242272,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
6,1,"{""activation"": ""relu"", ""alpha"": 0.1, ""batch_size"": 128, ""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.003}",0.7350558848816688,0.9003898744422972,0.16753064095973969,0.0,0.8598665395614872,0.5,1.0,0.0,0.754180602006689,mlp_focal_sqrt,mlp_focal_sqrt,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
