configuration_id,inner_fold,parameters,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision,candidate_id,model_id,model_family,protocol,split_id
0,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8263181630275471,0.9391648576406568,0.18415038287639618,0.44341992587266094,0.8374269005847953,0.7409635837498592,0.7937915742793792,0.688135593220339,0.8861386138613861,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8478475647465195,0.9510722310257024,0.17435027658939362,0.42993516737112825,0.8406466512702079,0.7300782840852527,0.8070953436807096,0.6530612244897959,0.8771084337349397,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,2,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8555515332518817,0.9487067225433674,0.1693715900182724,0.49052906833804355,0.8441019561351512,0.7705288323755222,0.7893569844789357,0.7517006802721088,0.9070063694267516,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
0,mean,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 128, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.001}",0.8432390870086494,0.9463146037365755,0.1759574164946874,0.45462805386061095,0.8407251693300514,0.7471902334035446,0.7967479674796749,0.6976324993274146,0.8900844723410257,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,0,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8257544439851179,0.9370611097736261,0.17528848350048065,0.4594157724641748,0.8250904704463209,0.7571235296328309,0.7583148558758315,0.7559322033898305,0.9047619047619048,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,1,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8409317163672565,0.9461753637682957,0.1697346419095993,0.4958606814982315,0.8236744759556104,0.7818528741873689,0.7405764966740577,0.8231292517006803,0.9277777777777778,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,2,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8481756338899196,0.9477058182271707,0.1547899842262268,0.4781290639469336,0.8481308411214953,0.759581881533101,0.8048780487804879,0.7142857142857143,0.8962962962962963,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
1,mean,"{""activation"": ""relu"", ""alpha"": 0.001, ""batch_size"": 128, ""hidden_layer_sizes"": [32], ""learning_rate_init"": 0.003}",0.8382872647474313,0.9436474305896976,0.16660436987876892,0.4778018393031133,0.8322985958411423,0.7661860951177669,0.7679231337767923,0.7644490564587417,0.9096119929453264,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,0,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8198504265474088,0.93154484934908,0.2104424387216568,0.4432422785138518,0.8141377209018891,0.7499492652861814,0.7405764966740577,0.7593220338983051,0.9039242219215156,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
2,1,"{""activation"": ""relu"", ""alpha"": 1e-05, ""batch_size"": 32, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.003}",0.8477099265426791,0.9466375255815755,0.17733919620513916,0.4711218005908412,0.8397397989355411,0.7592161032927583,0.7871396895787139,0.7312925170068028,0.899873257287706,mlp_weighted_inverse,mlp_weighted_inverse,mlp,interpolation_holdout,interpolation_holdout__seed-42__fold-0
