split_id,protocol,seed,fold,model_id,model_family,feature_set,n_test_rows,n_test_papers,roc_auc,pr_auc,brier,mcc_at_mcc,f1_at_mcc,balanced_accuracy_at_mcc,sensitivity_at_mcc,specificity_at_mcc,precision_at_mcc,mcc_at_f1,f1_at_f1,balanced_accuracy_at_f1,sensitivity_at_f1,specificity_at_f1,precision_at_f1,mcc_at_balanced_accuracy,f1_at_balanced_accuracy,balanced_accuracy_at_balanced_accuracy,sensitivity_at_balanced_accuracy,specificity_at_balanced_accuracy,precision_at_balanced_accuracy,mcc_at_youden_j,f1_at_youden_j,balanced_accuracy_at_youden_j,sensitivity_at_youden_j,specificity_at_youden_j,precision_at_youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,mlp_all,mlp,all,901,82,0.8591595688048974,0.953189007414446,0.16049475967884064,0.487540413905634,0.8345323741007195,0.7729638009049774,0.7676470588235295,0.7782805429864253,0.9141856392294221,0.3462731754494978,0.8703956343792633,0.6342760180995475,0.9382352941176471,0.33031674208144796,0.811704834605598,0.4880309951824365,0.8333333333333334,0.7737556561085972,0.7647058823529411,0.7828054298642534,0.9154929577464789,0.4880309951824365,0.8333333333333334,0.7737556561085972,0.7647058823529411,0.7828054298642534,0.9154929577464789
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,mlp_all,mlp,all,901,81,0.9002528613255256,0.9651136099762119,0.13238954544067383,0.5878953026164198,0.8628708901363272,0.8299773755656108,0.7911764705882353,0.8687782805429864,0.9488536155202821,0.533462529972502,0.895224518888097,0.7468325791855204,0.9235294117647059,0.5701357466063348,0.8686030428769018,0.5676926087724026,0.8244274809160306,0.8279411764705882,0.7147058823529412,0.9411764705882353,0.9739478957915831,0.5676926087724026,0.8244274809160306,0.8279411764705882,0.7147058823529412,0.9411764705882353,0.9739478957915831
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,mlp_all,mlp,all,900,81,0.8748059096755276,0.9518866065384921,0.15512818098068237,0.5150232246027109,0.8108108108108109,0.7968998860448224,0.7069219440353461,0.8868778280542986,0.9504950495049505,0.48246105331796024,0.8870056497175142,0.7158384368814933,0.9248895434462445,0.5067873303167421,0.8521031207598372,0.5150232246027109,0.8108108108108109,0.7968998860448224,0.7069219440353461,0.8868778280542986,0.9504950495049505,0.5150232246027109,0.8108108108108109,0.7968998860448224,0.7069219440353461,0.8868778280542986,0.9504950495049505
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,mlp_all,mlp,all,900,81,0.8583223931920112,0.9454452410800258,0.14865492284297943,0.531408768995409,0.8390243902439024,0.8007850245570076,0.759941089837997,0.8416289592760181,0.9364791288566243,0.38503735984898424,0.873356401384083,0.659224038544839,0.9293078055964654,0.3891402714932127,0.8237597911227154,0.5210838316856717,0.8027444253859348,0.8016380223778647,0.6892488954344624,0.9140271493212669,0.9609856262833676,0.5210838316856717,0.8027444253859348,0.8016380223778647,0.6892488954344624,0.9140271493212669,0.9609856262833676
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,mlp_all,mlp,all,900,80,0.8840389446817585,0.9613464799898759,0.12974348664283752,0.5695471889721172,0.8480392156862745,0.8233561465823442,0.7643593519882179,0.8823529411764706,0.9522935779816514,0.380680154301211,0.8791357191087104,0.6377524840229509,0.9587628865979382,0.3167420814479638,0.8117206982543641,0.5775291496912275,0.8482362592288761,0.8286707228490127,0.7614138438880707,0.8959276018099548,0.9574074074074074,0.5775291496912275,0.8482362592288761,0.8286707228490127,0.7614138438880707,0.8959276018099548,0.9574074074074074
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,mlp_all,mlp,all,900,81,0.8824828900632418,0.9617820180567169,0.13705040514469147,0.5400423737538141,0.8470209339774557,0.8036239079295477,0.7746686303387335,0.832579185520362,0.9342806394316163,0.3660565817760287,0.8775235531628532,0.6294390872923317,0.9602356406480118,0.2986425339366516,0.8079306071871127,0.537265182665045,0.8439773645917542,0.8029408432683145,0.7687776141384389,0.8371040723981901,0.9354838709677419,0.537265182665045,0.8439773645917542,0.8029408432683145,0.7687776141384389,0.8371040723981901,0.9354838709677419
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,mlp_all,mlp,all,872,20,0.7363779105392158,0.8840400310981027,0.17976456880569458,0.27284890032142284,0.6842584167424932,0.6644914215686275,0.5529411764705883,0.7760416666666666,0.8973747016706444,0.0,0.8762886597938144,0.5,1.0,0.0,0.7798165137614679,0.26656469333044347,0.6854034451495921,0.6607536764705882,0.5558823529411765,0.765625,0.8936170212765957,0.26656469333044347,0.6854034451495921,0.6607536764705882,0.5558823529411765,0.765625,0.8936170212765957
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,mlp_all,mlp,all,1017,13,0.7430249955993663,0.9028021522090423,0.26041650772094727,0.33963961645832735,0.74364896073903,0.6900413659566977,0.6518218623481782,0.7282608695652174,0.8655913978494624,0.0,0.8430034129692833,0.5,1.0,0.0,0.7286135693215339,0.36006515188036003,0.7305863708399366,0.7023704746816875,0.6221322537112011,0.782608695652174,0.8848368522072937,0.36006515188036003,0.7305863708399366,0.7023704746816875,0.6221322537112011,0.782608695652174,0.8848368522072937
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,mlp_all,mlp,all,886,19,0.6579740772048465,0.8526265901301031,0.24961088597774506,0.18742873112534814,0.706984667802385,0.6093336151028459,0.613905325443787,0.6047619047619047,0.8333333333333334,0.0,0.8655569782330346,0.5,1.0,0.0,0.7629796839729119,0.14336265357099184,0.6684210526315789,0.5841856861087631,0.5636094674556213,0.6047619047619047,0.8211206896551724,0.14336265357099184,0.6684210526315789,0.5841856861087631,0.5636094674556213,0.6047619047619047,0.8211206896551724
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,mlp_all,mlp,all,847,19,0.6068074615592891,0.8083944247532466,0.32289010286331177,0.1576517030830715,0.5083986562150056,0.5832122041240934,0.36553945249597425,0.8008849557522124,0.8345588235294118,0.0,0.8460490463215259,0.5,1.0,0.0,0.7331759149940968,0.1314340207207377,0.5266594124047879,0.570953215624243,0.3896940418679549,0.7522123893805309,0.8120805369127517,0.1314340207207377,0.5266594124047879,0.570953215624243,0.3896940418679549,0.7522123893805309,0.8120805369127517
