split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,mlp_all,0.48454737663269043,0.08546264469623566,0.4936184883117676,0.4936184883117676
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,mlp_all,0.5791587233543396,0.14718662202358246,0.7925649881362915,0.7925649881362915
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,mlp_all,0.7407310605049133,0.11294994503259659,0.7407310605049133,0.7407310605049133
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,mlp_all,0.5826610922813416,0.14743630588054657,0.7549141645431519,0.7549141645431519
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,mlp_all,0.7451832890510559,0.1063351184129715,0.7510416507720947,0.7510416507720947
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,mlp_all,0.719423770904541,0.09436392784118652,0.7295891642570496,0.7295891642570496
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,mlp_all,0.9977579712867737,0.0,0.9974700212478638,0.9974700212478638
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,mlp_all,0.7675243020057678,0.0,0.8283835649490356,0.8283835649490356
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,mlp_all,0.4685746431350708,8.181023986253422e-06,0.49116379022598267,0.49116379022598267
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,mlp_all,0.9703609943389893,2.444408710289281e-05,0.9657819271087646,0.9657819271087646
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,mlp_all,0.852776825428009,1.0386106907844805e-07,0.852776825428009,0.852776825428009
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,mlp_all,0.7657736539840698,0.12466695159673691,0.7707479000091553,0.7707479000091553
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,mlp_all,0.7679867148399353,0.06064993515610695,0.7679867148399353,0.7679867148399353
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,mlp_all,0.5436422824859619,0.04552759975194931,0.5915818214416504,0.5915818214416504
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,mlp_all,0.5918809771537781,0.09488525986671448,0.8994465470314026,0.8994465470314026
interpolation_stratified__seed-43__fold-3,interpolation_stratified,43,3,mlp_all,0.5569504499435425,0.09800492227077484,0.7928680777549744,0.7928680777549744
interpolation_stratified__seed-43__fold-4,interpolation_stratified,43,4,mlp_all,0.5053551197052002,0.13528497517108917,0.7816619277000427,0.7816619277000427
extrapolation_grouped__seed-43__fold-0,extrapolation_grouped,43,0,mlp_all,0.9772931933403015,0.0,0.9772931933403015,0.9772931933403015
extrapolation_grouped__seed-43__fold-1,extrapolation_grouped,43,1,mlp_all,0.9068542718887329,3.603542779728741e-07,0.9068542718887329,0.9068542718887329
extrapolation_grouped__seed-43__fold-2,extrapolation_grouped,43,2,mlp_all,0.4797496199607849,0.052046891301870346,0.7482575178146362,0.7482575178146362
extrapolation_grouped__seed-43__fold-3,extrapolation_grouped,43,3,mlp_all,0.9548433423042297,3.4558074730739463e-06,0.9548433423042297,0.9548433423042297
extrapolation_grouped__seed-43__fold-4,extrapolation_grouped,43,4,mlp_all,0.5243409872055054,0.007831149734556675,0.5760042667388916,0.5760042667388916
interpolation_holdout__seed-44__fold-0,interpolation_holdout,44,0,mlp_all,0.8263683319091797,0.21769015491008759,0.8263683319091797,0.8263683319091797
interpolation_stratified__seed-44__fold-0,interpolation_stratified,44,0,mlp_all,0.775147557258606,0.0957469791173935,0.775147557258606,0.775147557258606
interpolation_stratified__seed-44__fold-1,interpolation_stratified,44,1,mlp_all,0.7340630292892456,0.12997299432754517,0.8106830716133118,0.8106830716133118
interpolation_stratified__seed-44__fold-2,interpolation_stratified,44,2,mlp_all,0.5540481209754944,0.09071363508701324,0.7897248864173889,0.7897248864173889
interpolation_stratified__seed-44__fold-3,interpolation_stratified,44,3,mlp_all,0.7775573134422302,0.12140326201915741,0.8004541993141174,0.8004541993141174
interpolation_stratified__seed-44__fold-4,interpolation_stratified,44,4,mlp_all,0.5748912692070007,0.052742574363946915,0.7864729762077332,0.7864729762077332
extrapolation_grouped__seed-44__fold-0,extrapolation_grouped,44,0,mlp_all,0.611160397529602,0.0750136747956276,0.611160397529602,0.611160397529602
extrapolation_grouped__seed-44__fold-1,extrapolation_grouped,44,1,mlp_all,0.9981579184532166,7.387276923509489e-07,0.9980752468109131,0.9980752468109131
extrapolation_grouped__seed-44__fold-2,extrapolation_grouped,44,2,mlp_all,0.7511529326438904,1.067888659445071e-11,0.989093542098999,0.989093542098999
