protocol,model_a,model_b,family_a,family_b,delta_roc_auc,delta_pr_auc,paired_fold_count
interpolation_holdout,svm_baseline,svm_linear_inverse,svm,svm,0.09119507364359218,0.037895772399572536,3
interpolation_holdout,svm_baseline,svm_linear_sqrt,svm,svm,0.08101352119077376,0.032607875082849826,3
interpolation_holdout,svm_baseline,svm_weighted_inverse,svm,svm,-0.01113064246264354,-0.005598008987556542,3
interpolation_holdout,svm_baseline,svm_weighted_sqrt,svm,svm,-0.01533248227139968,-0.006416070606278468,3
interpolation_holdout,svm_linear_inverse,svm_linear_sqrt,svm,svm,-0.010181552452818413,-0.005287897316722708,3
interpolation_holdout,svm_linear_inverse,svm_weighted_inverse,svm,svm,-0.10232571610623571,-0.04349378138712908,3
interpolation_holdout,svm_linear_inverse,svm_weighted_sqrt,svm,svm,-0.10652755591499186,-0.044311843005851004,3
interpolation_holdout,svm_linear_sqrt,svm_weighted_inverse,svm,svm,-0.09214416365341731,-0.03820588407040637,3
interpolation_holdout,svm_linear_sqrt,svm_weighted_sqrt,svm,svm,-0.09634600346217344,-0.039023945689128293,3
interpolation_holdout,svm_weighted_inverse,svm_weighted_sqrt,svm,svm,-0.00420183980875614,-0.0008180616187219251,3
interpolation_stratified,svm_baseline,svm_linear_inverse,svm,svm,0.0666313496541499,0.031175428844067727,15
interpolation_stratified,svm_baseline,svm_linear_sqrt,svm,svm,0.06431335328887071,0.028281997157255996,15
interpolation_stratified,svm_baseline,svm_weighted_inverse,svm,svm,-0.03454025498030682,-0.01869056813605356,15
interpolation_stratified,svm_baseline,svm_weighted_sqrt,svm,svm,-0.03863521350586534,-0.020229153563791766,15
interpolation_stratified,svm_linear_inverse,svm_linear_sqrt,svm,svm,-0.002317996365279192,-0.0028934316868117317,15
interpolation_stratified,svm_linear_inverse,svm_weighted_inverse,svm,svm,-0.10117160463445671,-0.049865996980121285,15
interpolation_stratified,svm_linear_inverse,svm_weighted_sqrt,svm,svm,-0.10526656316001524,-0.05140458240785949,15
interpolation_stratified,svm_linear_sqrt,svm_weighted_inverse,svm,svm,-0.09885360826917754,-0.04697256529330955,15
interpolation_stratified,svm_linear_sqrt,svm_weighted_sqrt,svm,svm,-0.10294856679473605,-0.04851115072104776,15
interpolation_stratified,svm_weighted_inverse,svm_weighted_sqrt,svm,svm,-0.004094958525558515,-0.0015385854277382076,15
extrapolation_grouped,svm_baseline,svm_linear_inverse,svm,svm,-0.016873189358671783,-0.00643186242416353,15
extrapolation_grouped,svm_baseline,svm_linear_sqrt,svm,svm,-0.008308107176435405,0.002981145654692393,15
extrapolation_grouped,svm_baseline,svm_weighted_inverse,svm,svm,-0.02932229522135171,-0.02072263999548364,15
extrapolation_grouped,svm_baseline,svm_weighted_sqrt,svm,svm,-0.015168433881737785,-0.009503992843594747,15
extrapolation_grouped,svm_linear_inverse,svm_linear_sqrt,svm,svm,0.008565082182236379,0.009413008078855922,15
extrapolation_grouped,svm_linear_inverse,svm_weighted_inverse,svm,svm,-0.012449105862679924,-0.014290777571320112,15
extrapolation_grouped,svm_linear_inverse,svm_weighted_sqrt,svm,svm,0.0017047554769339982,-0.0030721304194312182,15
extrapolation_grouped,svm_linear_sqrt,svm_weighted_inverse,svm,svm,-0.021014188044916303,-0.023703785650176036,15
extrapolation_grouped,svm_linear_sqrt,svm_weighted_sqrt,svm,svm,-0.0068603267053023815,-0.01248513849828714,15
extrapolation_grouped,svm_weighted_inverse,svm_weighted_sqrt,svm,svm,0.014153861339613922,0.011218647151888894,15
lopo,svm_baseline,svm_linear_inverse,svm,svm,0.05195542887468026,0.0351344511197545,87
lopo,svm_baseline,svm_linear_sqrt,svm,svm,0.05130817660015647,0.04293126122775907,87
lopo,svm_baseline,svm_weighted_inverse,svm,svm,0.042379025703783,0.02405281356500486,87
lopo,svm_baseline,svm_weighted_sqrt,svm,svm,0.005595805049414593,0.005182257037108723,87
lopo,svm_linear_inverse,svm_linear_sqrt,svm,svm,-0.000647252274523791,0.00779681010800456,87
lopo,svm_linear_inverse,svm_weighted_inverse,svm,svm,-0.009576403170897252,-0.011081637554749646,87
lopo,svm_linear_inverse,svm_weighted_sqrt,svm,svm,-0.046359623825265664,-0.02995219408264578,87
lopo,svm_linear_sqrt,svm_weighted_inverse,svm,svm,-0.00892915089637346,-0.01887844766275421,87
lopo,svm_linear_sqrt,svm_weighted_sqrt,svm,svm,-0.04571237155074188,-0.03774900419065034,87
lopo,svm_weighted_inverse,svm_weighted_sqrt,svm,svm,-0.03678322065436841,-0.01887055652789614,87
