candidate_id,model_id,model_family,protocol,split_id,seed,fold,paper_id,roc_auc,pr_auc,brier,mcc,f1,balanced_accuracy,sensitivity,specificity,precision
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s10694-019-00880-2,0.6339737108190091,0.46543652584865114,0.2453936251312949,0.1812363285667723,0.509090909090909,0.5950455005055613,0.6086956521739131,0.5813953488372093,0.4375
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s12217-018-9655-0,0.881578947368421,0.9750467176713711,0.09365515006183377,0.6725927091345493,0.95,0.75,1.0,0.5,0.9047619047619048
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::urban david et al solid fuel ignition testing for lunar applications theory and experimental results,0.5587719298245614,0.6457381178502835,0.2623786627152548,0.09237670079216038,0.5633802816901409,0.5464912280701755,0.5263157894736842,0.5666666666666667,0.6060606060606061
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s1540-7489(02)80314-5,0.9791666666666667,0.9963235294117647,0.10088935650480726,0.0,0.9142857142857143,0.5,1.0,0.0,0.8421052631578947
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s12217-024-10106-y,,,0.019944135334931355,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::mitsui fumiya et al effect of the ignition method on the extinction limit for a flame spreading over electric wire insulation 47th international conference on environmental systems 16 20 july 2017 charleston sc usa 2017,0.6333333333333333,0.7251948051948052,0.3232894668354371,-0.04303314829119352,0.5714285714285714,0.48333333333333334,0.8,0.16666666666666666,0.4444444444444444
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1038/s41598-017-18398-4,0.8875,0.9728925986723974,0.11202784115923607,0.0,0.9090909090909091,0.5,1.0,0.0,0.8333333333333334
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s12217-022-09945-4,,,0.02748184891111171,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.actaastro.2019.01.044,1.0,1.0,0.06566645798094398,1.0,1.0,1.0,1.0,1.0,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::son youngjin paul d ronney and suleyman gokoglu comparison of carbon dioxide and helium as fire extinguishing agents for spacecraft nasa cp 2004 213205 vol2 2004 pp 409 418,0.8421052631578947,0.9916743613419512,0.05265594294941665,0.0,0.9743589743589743,0.5,1.0,0.0,0.95
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.combustflame.2009.01.015,0.8583333333333334,0.9614449439449441,0.16386002248995965,0.0,0.8695652173913043,0.5,1.0,0.0,0.7692307692307693
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s0082-0784(00)80715-8,,,0.00021660061353769142,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.2322/tastj.16.28,0.8333333333333334,0.9166666666666666,0.23956880302513112,0.09128709291752768,0.6666666666666666,0.5416666666666666,0.75,0.3333333333333333,0.6
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.firesaf.2024.104267,0.6,0.8761904761904762,0.24003578183855584,-0.4,0.6,0.3,0.6,0.0,0.6
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.firesaf.2023.103989,0.7746411483253589,0.9245765315192419,0.16387388230877123,0.18919127913188863,0.8305084745762712,0.5770334928229665,0.8909090909090909,0.2631578947368421,0.7777777777777778
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::olson s l and j s t ien near limit flame spread over a thin solid fuel in 0 symposium international on combustion vol 22 no 1 1988 pp 1213 1222 the combustion institute,,,0.005056170167385832,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s10694-019-00860-6,0.9047619047619049,0.9617346938775511,0.1293055376977042,0.7637626158259734,0.9333333333333333,0.8333333333333333,1.0,0.6666666666666666,0.875
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2016.06.028,1.0,1.0,0.3828656734962918,0.0,0.5714285714285714,0.5,1.0,0.0,0.4
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1080/00102209108951711,,,0.05772811272474588,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s1540-7489(02)80211-3,0.875,0.8333333333333333,0.10473348961483242,0.7071067811865476,0.8,0.875,1.0,0.75,0.6666666666666666
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::grayson g d k r sacksteder p v ferkul and j s t ien flame spreading over a thin solid in low speed concurrent flow drop tower experimental results and comparison with theory 0 science and technology vii 2 1994,1.0,1.0,0.12614323765793595,0.0,0.8888888888888888,0.5,1.0,0.0,0.8
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.firesaf.2024.104329,0.7028862478777589,0.8360972901009127,0.2333582680564197,0.07290287958392087,0.7532467532467533,0.5203735144312394,0.9354838709677419,0.10526315789473684,0.6304347826086957
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s10694-019-00935-4,0.7571428571428571,0.8248656898656898,0.24863228481467978,0.0,0.7407407407407407,0.5,1.0,0.0,0.5882352941176471
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s0010-2180(00)00249-2,,,0.03632126626894154,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2024.105766,,,0.028016778683927823,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s1540-7489(02)80315-7,,,0.009310658520804385,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.actaastro.2017.10.019,,,0.007787017593398276,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2024.105255,1.0,1.0,0.1514500095925715,0.0,0.8571428571428571,0.5,1.0,0.0,0.75
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2020.05.005,1.0,1.0,0.07311523017517924,0.0,0.9333333333333333,0.5,1.0,0.0,0.875
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.2514/6.2012-3492,0.0,0.38333333333333336,0.3303572825659993,-0.7071067811865476,0.2857142857142857,0.16666666666666666,0.3333333333333333,0.0,0.25
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1007/s10694-019-00896-8,,,0.004671986634772123,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s0082-0784(06)80816-7,0.36363636363636365,0.9254656959202414,0.0813170565608876,0.0,0.9565217391304348,0.5,1.0,0.0,0.9166666666666666
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/s0010-2180(99)00084-x,,,0.010219270379102998,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2024.105775,,,0.014124832004432281,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1080/00102200490276773,,,0.012582495680545851,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.combustflame.2020.07.044,,,0.007143351507886089,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2014.07.017,0.9603174603174603,0.9879227053140096,0.18780751036042745,0.0,0.8372093023255814,0.5,1.0,0.0,0.72
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2018.06.022,,,0.01907234841192932,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.combustflame.2013.03.029,,,0.04264290768106119,0.0,1.0,1.0,1.0,,1.0
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,doi::10.1016/j.proci.2022.07.002,0.9611111111111111,0.9897657461382953,0.0905333894100788,0.6470984341213211,0.9142857142857143,0.8444444444444444,0.8888888888888888,0.8,0.9411764705882353
svm_baseline,svm_baseline,svm,interpolation_holdout,interpolation_holdout__seed-42__fold-0,42,0,citation::andracchio charles r and thomas h cochran gravity effects on flame spreading over solid surfaces nasa technical note d 8228 national aeronautics and space administration may 1976,0.0,0.8475279673349525,0.09044974189257642,-0.0625,0.9375,0.46875,0.9375,0.0,0.9375
