candidate_id,model_id,model_family,protocol,fold_count,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std,mcc_mean,mcc_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,precision_mean,precision_std
svm_baseline,svm_baseline,svm,interpolation_holdout,3,0.8542211112373593,0.008882388120258248,0.9477469609686464,0.0035534648917039577,0.1338609986070478,0.004932109125216956,0.3699353404820919,0.08307083085616952,0.8713465550096657,0.014190776842340077,0.6513163611086975,0.03637999678405198,0.930083702609552,0.011847572048760174,0.37254901960784315,0.0616005365208511,0.8196073404937726,0.01621107793318622
svm_baseline,svm_baseline,svm,interpolation_stratified,15,0.8221811666754986,0.015961128327938837,0.9315299042668167,0.007971508515202381,0.15631254903389533,0.00461483481512382,0.09786627531004193,0.08704565854112192,0.8622500184178958,0.0036869213532924315,0.51234789347838,0.015381949366265033,0.9987188227445016,0.001464693080341849,0.02597696421225833,0.031229841138971887,0.7586140606535839,0.00591766860645056
svm_baseline,svm_baseline,svm,extrapolation_grouped,15,0.6640815304137654,0.06871124298373354,0.8579570693216693,0.04033336306702417,0.1765012046780157,0.010392543219870695,0.015013866031173028,0.04298198008189207,0.8598677058568057,0.012322699632822023,0.500700755150913,0.0037412226579068,0.9983072829357539,0.0053236612730704945,0.003094227366072026,0.006038727210296821,0.7553749251258076,0.01924713721029275
svm_baseline,svm_baseline,svm,lopo,87,0.6844986448329101,0.22251566835772393,0.8396776440408168,0.16449214919517732,0.12122108776521928,0.10473376413797152,0.008682763631551097,0.05732062276645581,0.9081083317093753,0.1259448221150254,0.7495980372386906,0.24824490068926933,0.9964878671775224,0.025347356359118868,0.01861244019138756,0.09370133732224671,0.8547781420876214,0.1885540986860934
svm_weighted_sqrt,svm_weighted_sqrt,svm,interpolation_holdout,3,0.8695535935087589,0.00867979938378564,0.9541630315749249,0.0022209912113971613,0.1492332493715057,0.004549509704863504,0.5348443319687605,0.01530927653802447,0.8322556858147617,0.007218932854087504,0.8048650888602231,0.008256379976011774,0.7439684884293452,0.01005444503036049,0.8657616892911011,0.010449778627866493,0.94437080092269,0.004364167270013295
svm_weighted_sqrt,svm_weighted_sqrt,svm,interpolation_stratified,15,0.8608163801813639,0.01250893123960097,0.9517590578306087,0.004918422998996398,0.17942595179473347,0.003922452923654877,0.5088705603057275,0.02738562863561832,0.8320954335075406,0.012614202938983679,0.7875009090421443,0.015031634133661516,0.7543628492100257,0.020619718719146373,0.8206389688742632,0.02893655300529129,0.928145792285717,0.01028892112946185
svm_weighted_sqrt,svm_weighted_sqrt,svm,extrapolation_grouped,15,0.6792499642955029,0.043333836987515,0.8674610621652641,0.027815816357367688,0.19805666647422956,0.01106768833492504,0.20190149920640066,0.07064686075087571,0.8185879113933417,0.03043765384769812,0.5941113874261582,0.04089295633320532,0.8426631133587316,0.07039859947825879,0.3455596614935853,0.13261723062690947,0.800189165611279,0.03195604577487968
svm_weighted_sqrt,svm_weighted_sqrt,svm,lopo,87,0.6789028397834955,0.21864370636640132,0.8344953870037081,0.1594282650037628,0.16843230476614965,0.07246429907224872,0.07961246953978844,0.20347698975592454,0.8697036670437264,0.1649122985215736,0.7576239335428113,0.22954260984129293,0.8967620561002705,0.1838036114402741,0.29358170656582927,0.3457811730173746,0.8780070633475247,0.1842448950102074
svm_weighted_inverse,svm_weighted_inverse,svm,interpolation_holdout,3,0.865351753700003,0.007266396378473495,0.953344969956203,0.0016393724838638134,0.15051870458912722,0.004652566897446424,0.5318510855721086,0.023672039637671883,0.8329901647170228,0.01110741586574795,0.8025714546698124,0.0133429199174787,0.7469226981782372,0.017868288834686427,0.8582202111613876,0.02612444656966636,0.941748467642729,0.009673007234510736
svm_weighted_inverse,svm_weighted_inverse,svm,interpolation_stratified,15,0.8567214216558054,0.011921760064075585,0.9502204724028704,0.004925577238117557,0.16159355791803892,0.0034852806041086063,0.45357193079687136,0.050271723477237296,0.8557572563236134,0.01334051973351292,0.732364925389214,0.04523353967792823,0.8405861513406111,0.05528013210687493,0.624143699437817,0.14263580366600082,0.8759321169157146,0.03437210848107299
svm_weighted_inverse,svm_weighted_inverse,svm,extrapolation_grouped,15,0.693403825635117,0.04555043008824866,0.878679709317153,0.02182028639596729,0.18276800569688362,0.00953888743733773,0.1411983609998367,0.08618968943005993,0.8444222183443167,0.01861609766783892,0.5494362198696748,0.038737751142579,0.9276564959366511,0.04431553343295821,0.1712159438026986,0.11021189339292667,0.776404529667032,0.023812912606324572
svm_weighted_inverse,svm_weighted_inverse,svm,lopo,87,0.6421196191291271,0.22461885135763826,0.8156248304758119,0.18030061449456197,0.14655625046954773,0.08074110812464898,0.027891938238339256,0.12947222587784343,0.8852647040204875,0.17070814870875659,0.7544156046257767,0.2456337806274504,0.949082030745715,0.1589279515026886,0.14062741797055522,0.2834622124620586,0.8663766220387376,0.18435204411841738
svm_linear_sqrt,svm_linear_sqrt,svm,interpolation_holdout,3,0.7732075900465857,0.010435362994168553,0.9151390858857967,0.0052755521510237675,0.1862764055497692,0.007580793702274515,0.3476632212898833,0.016362917284672394,0.7942674918053299,0.008808013844789363,0.6938683438379328,0.01025906505201639,0.7331363860167405,0.018703515424148245,0.6546003016591252,0.03273383772882461,0.8668685660613044,0.008879729702503291
svm_linear_sqrt,svm_linear_sqrt,svm,interpolation_stratified,15,0.7578678133866279,0.01592152748536385,0.9032479071095608,0.010671507902125166,0.1973561136989853,0.0024801592650618635,0.24364191837318197,0.03234247874182916,0.8492248885500148,0.008010837970202888,0.5967700920515105,0.019485865940340078,0.9109349462036657,0.025290377990416,0.28260523789935554,0.05853682324928537,0.7958384530789668,0.009992087636322198
svm_linear_sqrt,svm_linear_sqrt,svm,extrapolation_grouped,15,0.6723896375902007,0.09239259093044695,0.854975923666977,0.056852870631852376,0.20331655320752537,0.012311197753078235,0.1251222481110126,0.15557248912363902,0.8343912363116774,0.02287988734475852,0.5628534727916942,0.07359406759748782,0.8941205707274427,0.07711080162728957,0.23158637485594566,0.2141929085722173,0.7871694842191305,0.031165452725391632
svm_linear_sqrt,svm_linear_sqrt,svm,lopo,87,0.6331904682327536,0.21637155794147295,0.7967463828130579,0.1918532370724964,0.17456696526812418,0.057431158362749694,-0.006669292715078578,0.04132639864422334,0.8833587894277283,0.16949351718100716,0.735235405834431,0.25264193713002914,0.9460938264447978,0.15615088198045327,0.07790757023287266,0.19948408465969975,0.8513973389077734,0.1939187712157533
svm_linear_inverse,svm_linear_inverse,svm,interpolation_holdout,3,0.7630260375937672,0.008699588598225146,0.9098511885690739,0.0033667428995383837,0.17738446902679994,0.005956689079840781,0.31353683308867486,0.0438993382597591,0.812948237274099,0.008089762923510201,0.6661575890440258,0.025110145750317454,0.7863121614967996,0.009610645640543099,0.5460030165912518,0.05145919188305275,0.8416008779571732,0.014760276358159642
svm_linear_inverse,svm_linear_inverse,svm,interpolation_stratified,15,0.7555498170213485,0.016311350621269052,0.9003544754227489,0.009984861662698581,0.1796481133209791,0.002532236755915604,0.1824732071343743,0.05632626870460361,0.857805606274141,0.005376543124164942,0.5533766985268821,0.02622896995198859,0.9603020053082544,0.0223076713255197,0.1464513917455094,0.07119314294084311,0.7754954564718072,0.011284708484642724
svm_linear_inverse,svm_linear_inverse,svm,extrapolation_grouped,15,0.6809547197724372,0.08082505530737678,0.8643889317458326,0.047370443665404674,0.18839740751421985,0.011544770540429346,0.09454002844898983,0.14109608284060612,0.8437338215310156,0.022181657942423015,0.5448771320155422,0.06127831748562153,0.9291616194909155,0.07264826140853986,0.16059264454016917,0.18913743647382936,0.7769909113495649,0.03007981240373463
svm_linear_inverse,svm_linear_inverse,svm,lopo,87,0.6325432159582298,0.22137754488096265,0.8045431929210625,0.1838520321014773,0.14936947185993174,0.07408764221299537,0.003456079597514432,0.05125018942405456,0.8955697414361072,0.14194469667235016,0.7418215418062626,0.25019155688438777,0.9711680322179728,0.10317538051978845,0.0454104968637333,0.1406779828040414,0.8535086615879455,0.18978783051089484
