split_id,protocol,seed,fold,model_id,mcc,f1,balanced_accuracy,youden_j
interpolation_holdout__seed-42__fold-0,interpolation_holdout,42,0,xgb_baseline,0.8139321804046631,0.42065778374671936,0.886987030506134,0.886987030506134
interpolation_stratified__seed-42__fold-0,interpolation_stratified,42,0,xgb_baseline,0.7941148281097412,0.3844156265258789,0.8176775574684143,0.8176775574684143
interpolation_stratified__seed-42__fold-1,interpolation_stratified,42,1,xgb_baseline,0.8290154337882996,0.32511165738105774,0.882908284664154,0.882908284664154
interpolation_stratified__seed-42__fold-2,interpolation_stratified,42,2,xgb_baseline,0.8219892382621765,0.3777610957622528,0.8701488971710205,0.8701488971710205
interpolation_stratified__seed-42__fold-3,interpolation_stratified,42,3,xgb_baseline,0.807385265827179,0.42977526783943176,0.807385265827179,0.807385265827179
interpolation_stratified__seed-42__fold-4,interpolation_stratified,42,4,xgb_baseline,0.7843037843704224,0.3835916817188263,0.8164217472076416,0.8164217472076416
extrapolation_grouped__seed-42__fold-0,extrapolation_grouped,42,0,xgb_baseline,0.7073984146118164,0.18604891002178192,0.8557631373405457,0.8557631373405457
extrapolation_grouped__seed-42__fold-1,extrapolation_grouped,42,1,xgb_baseline,0.852403461933136,0.36870235204696655,0.852403461933136,0.852403461933136
extrapolation_grouped__seed-42__fold-2,extrapolation_grouped,42,2,xgb_baseline,0.7120218276977539,0.5813800096511841,0.9419184327125549,0.9419184327125549
extrapolation_grouped__seed-42__fold-3,extrapolation_grouped,42,3,xgb_baseline,0.7955372929573059,0.2404009997844696,0.812994658946991,0.812994658946991
extrapolation_grouped__seed-42__fold-4,extrapolation_grouped,42,4,xgb_baseline,0.9399896860122681,0.0014001942472532392,0.9399896860122681,0.9399896860122681
interpolation_holdout__seed-43__fold-0,interpolation_holdout,43,0,xgb_baseline,0.7642505764961243,0.4159267544746399,0.8261156678199768,0.8261156678199768
interpolation_stratified__seed-43__fold-0,interpolation_stratified,43,0,xgb_baseline,0.8010607361793518,0.27225834131240845,0.8055461645126343,0.8055461645126343
interpolation_stratified__seed-43__fold-1,interpolation_stratified,43,1,xgb_baseline,0.7732182741165161,0.2794657051563263,0.8332318067550659,0.8332318067550659
interpolation_stratified__seed-43__fold-2,interpolation_stratified,43,2,xgb_baseline,0.7629990577697754,0.5159480571746826,0.7953414916992188,0.7953414916992188
