feature,importance_mean,importance_std,held_out_roc_auc
fuel_pyrolysis_t_k,0.0976633535389553,0.005104826513349013,0.7817867118321745
ignition_time_s,0.04517757918820946,0.006583987382446029,0.7817867118321745
fuel_cp_j_kgk,0.02791644381054263,0.001940055658875025,0.7817867118321745
thermal_diffusion_time_s,0.02058392018779346,0.0020243405848228238,0.7817867118321745
sample_dim_3_m,0.015847484697212866,0.0021265103267487724,0.7817867118321745
flow_speed_abs_m_s,0.012959640755928014,0.008538169933149922,0.7817867118321745
fuel_alpha_m2_s,0.00887245944018547,0.002218135557645587,0.7817867118321745
peclet,0.0074300231770369485,0.0027918202209272773,0.7817867118321745
half_thickness_m,0.0048721920128365626,0.0016015333758853004,0.7817867118321745
fuel_density_kg_m3,0.004123395435906613,0.0010568234433784305,0.7817867118321745
pressure_pa,0.003456312771141684,0.0013360977982280157,0.7817867118321745
geometry_cat,0.003219528139299971,0.000867263519195727,0.7817867118321745
sample_dim_2_m,0.002460145896475968,0.0008171678000994552,0.7817867118321745
gas_cp_j_kgk,0.0022720181850597763,0.002231343934437545,0.7817867118321745
gas_k_w_mk,0.002073490521186233,0.0015334075364303538,0.7817867118321745
core_cp_j_kgk,0.0016931494027456306,0.00035901574883575736,0.7817867118321745
core_density_kg_m3,0.0005714402448446342,0.000494038564657605,0.7817867118321745
ignition_method_cat,0.0005120119450883143,0.00018647145769913183,0.7817867118321745
gravity_regime_cat,0.000473383550246681,0.0004981953528389665,0.7817867118321745
core_k_w_mk,0.0002702130504546929,0.00030784207932656014,0.7817867118321745
ignition_power_w,0.00015915641528499447,0.0003589510243404966,0.7817867118321745
core_volumetric_heat_capacity_j_m3k,0.00014021364473765786,0.00017118274845993414,0.7817867118321745
flow_direction_cat,0.00012944226540682058,0.0004385673661818984,0.7817867118321745
diluent_cat,0.0,0.0,0.7817867118321745
fuel_k_w_mk,-0.0004848977833243562,0.0009819569418431137,0.7817867118321745
gravity_g,-0.0006940111130920301,0.0029652196962586734,0.7817867118321745
gas_alpha_m2_s,-0.001188937422000308,0.0012229253892658586,0.7817867118321745
reynolds,-0.001256908539846635,0.002688560348687706,0.7817867118321745
characteristic_length_m,-0.0019425625482854258,0.0010773462085990097,0.7817867118321745
gas_nu_m2_s,-0.0022441611695488695,0.0007734335732832664,0.7817867118321745
flow_velocity_m_s,-0.002740944612824586,0.0051960930153322656,0.7817867118321745
fuel_volumetric_heat_capacity_j_m3k,-0.0039662818684256754,0.001331620360423569,0.7817867118321745
oxygen,-0.00537900398169604,0.008473614954130784,0.7817867118321745
gas_density_kg_m3,-0.006037543828371006,0.0037993324844233134,0.7817867118321745
sample_dim_1_m,-0.008639574790515197,0.0011734307965204694,0.7817867118321745
gas_molar_mass,-0.010823750519997566,0.004266688533325931,0.7817867118321745
prandtl,-0.019993165745527973,0.006696429588914848,0.7817867118321745
