feature,mean_absolute_shap
numeric__oxygen,0.35380945
numeric__prandtl,0.26948884
numeric__gas_molar_mass,0.24730587
numeric__flow_speed_abs_m_s,0.24281546
numeric__fuel_pyrolysis_t_k,0.2009228
numeric__peclet,0.13658145
numeric__ignition_time_s,0.1282892
numeric__flow_velocity_m_s,0.12265121
numeric__gravity_g,0.10954907
numeric__sample_dim_3_m,0.10668207
numeric__gas_density_kg_m3,0.10057906
numeric__thermal_diffusion_time_s,0.07050631
numeric__fuel_cp_j_kgk,0.05879964
numeric__reynolds,0.054356758
numeric__fuel_alpha_m2_s,0.048527066
numeric__fuel_density_kg_m3,0.048438005
numeric__sample_dim_1_m,0.040904105
numeric__gas_alpha_m2_s,0.038417853
numeric__gas_cp_j_kgk,0.034576703
numeric__half_thickness_m,0.033418268
numeric__ignition_power_w,0.03016587
numeric__fuel_volumetric_heat_capacity_j_m3k,0.024145354
numeric__pressure_pa,0.022289436
numeric__gas_k_w_mk,0.02223054
numeric__core_cp_j_kgk,0.020491753
numeric__sample_dim_2_m,0.019356793
categorical__geometry_cat_Cylindrical,0.01885093
categorical__gravity_regime_cat_Microgravity,0.018740406
numeric__characteristic_length_m,0.018635646
numeric__gas_nu_m2_s,0.018457657
numeric__core_density_kg_m3,0.011976957
categorical__gravity_regime_cat_Earth,0.007975327
numeric__core_k_w_mk,0.007947208
numeric__fuel_k_w_mk,0.00695668
categorical__ignition_method_cat_Open Flame,0.006468018
numeric__core_volumetric_heat_capacity_j_m3k,0.005955988
categorical__flow_direction_cat_Counterflow,0.0032623892
categorical__gravity_regime_cat_Hyper / Unknown,0.0028628388
categorical__gravity_regime_cat_Partial,0.0027562818
categorical__flow_direction_cat_Quiescent,0.0026576929
categorical__flow_direction_cat_Coflow,0.002035043
categorical__ignition_method_cat_Radiative Heater,0.0007843674
categorical__geometry_cat_Flat,0.0
categorical__geometry_cat_Spherical,0.0
categorical__diluent_cat_N2,0.0
categorical__diluent_cat_CO2,0.0
categorical__diluent_cat_He,0.0
categorical__geometry_cat_Wire,0.0
categorical__diluent_cat_Ar,0.0
categorical__ignition_method_cat_Unknown,0.0
categorical__ignition_method_cat_Wire / Coil,0.0
