feature,mean_absolute_shap
numeric__oxygen,0.6149932
numeric__prandtl,0.41544855
numeric__flow_speed_abs_m_s,0.34286466
numeric__gas_molar_mass,0.31399915
numeric__ignition_time_s,0.25208834
numeric__fuel_pyrolysis_t_k,0.22406954
numeric__sample_dim_3_m,0.21403983
numeric__flow_velocity_m_s,0.20102617
numeric__reynolds,0.14514324
numeric__gas_density_kg_m3,0.13703035
numeric__thermal_diffusion_time_s,0.1300223
numeric__gravity_g,0.12330726
numeric__gas_cp_j_kgk,0.12070465
numeric__peclet,0.10081938
numeric__fuel_cp_j_kgk,0.095431745
numeric__sample_dim_1_m,0.08907263
numeric__gas_alpha_m2_s,0.07574714
numeric__fuel_alpha_m2_s,0.060117267
numeric__gas_k_w_mk,0.056945868
numeric__fuel_density_kg_m3,0.050250683
numeric__fuel_volumetric_heat_capacity_j_m3k,0.049379352
numeric__half_thickness_m,0.047779877
numeric__sample_dim_2_m,0.0460299
categorical__gravity_regime_cat_Earth,0.04381527
numeric__characteristic_length_m,0.043658264
numeric__core_cp_j_kgk,0.02755396
numeric__core_density_kg_m3,0.027219329
numeric__fuel_k_w_mk,0.026207106
numeric__pressure_pa,0.025385087
numeric__gas_nu_m2_s,0.02311434
numeric__ignition_power_w,0.022246292
categorical__geometry_cat_Cylindrical,0.014137158
numeric__core_volumetric_heat_capacity_j_m3k,0.012602684
categorical__gravity_regime_cat_Microgravity,0.011773153
categorical__ignition_method_cat_Open Flame,0.00842453
categorical__gravity_regime_cat_Partial,0.008382808
categorical__ignition_method_cat_Wire / Coil,0.0074050254
numeric__core_k_w_mk,0.0070561864
categorical__gravity_regime_cat_Hyper / Unknown,0.0034501622
categorical__flow_direction_cat_Quiescent,0.003072392
categorical__flow_direction_cat_Coflow,0.0030223627
categorical__flow_direction_cat_Counterflow,0.0026234367
categorical__ignition_method_cat_Radiative Heater,0.001376927
categorical__geometry_cat_Flat,0.0012416234
categorical__geometry_cat_Spherical,0.0
categorical__diluent_cat_N2,0.0
categorical__diluent_cat_He,0.0
categorical__geometry_cat_Wire,0.0
categorical__diluent_cat_Ar,0.0
categorical__diluent_cat_CO2,0.0
categorical__ignition_method_cat_Unknown,0.0
