Citation,,,Sample,,,,,,,,,,,,,,Flow,,,,,,,,,,,,,,,,,,Extra,,,,Outputs,,,,,Info
Article (MLA),Authors,DOI,Geometry of Sample,Dimensions of sample (Wire is L m x D m; Cylinder is Core Diameter m x Outer Diameter m; Flat is L m x H m x W m; Spherical is D m),half_thickness,characteristic_length_m,fuel_density_kg_m3,fuel_k_W_mK,fuel_cp_J_kgK,fuel_pyrolysis_T_K,fuel_alpha_m2_s,fuel_volumetric_heat_capacity_J_m3K,core_density_kg_m3,core_k_W_mK,core_cp_J_kgK,core_volumetric_heat_capacity_J_m3K,Oxygen Concentration,diluent,gas_M,gas_cp_mass,gas_k,gas_density_kg_m3,gas_alpha_m2_s,gas_nu_m2_s,Reynolds,Peclet,Prandtl,thin_thick_regime,Pressure (Pa),,Flow Velocity (m/s),Internal Geometry,Internal Dimensions ,Gravity,Facility,Ignition Method,Ignition Power (W),Ignition Time (s),Ignition,Flame Length,FSR (m/s),HRR,Smoke/ Areosols,
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,0.063 m x 0.063 m x 0.000025 m,0.0000125,0.063,1300,0.25,1500,600,1.28E-07,1950000,1300,0.25,1500,1950000,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.32E-05,4.10E-05,1.536585366,0.997444842,0.64913077,5620.135196,34500,,,Cylindrical,305 mm diameter; 610 mm height,1,Ground,Wire,,,Yes,,0.056,,,Orientation=horizontal
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,0.063 m x 0.063 m x 0.000025 m,0.0000125,0.063,1300,0.25,1500,600,1.28E-07,1950000,1300,0.25,1500,1950000,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.32E-05,4.10E-05,1.536585366,0.997444842,0.64913077,5620.135196,34500,,,Cylindrical,305 mm diameter; 610 mm height,0,Drop Tower,Wire,,,Yes,,0.036,,,Orientation=horizontal
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,0.063 m x 0.063 m x 0.000025 m,0.0000125,0.063,1300,0.25,1500,600,1.28E-07,1950000,1300,0.25,1500,1950000,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.32E-05,4.10E-05,1.536585366,0.997444842,0.64913077,5620.135196,34500,,,Cylindrical,305 mm diameter; 610 mm height,1,Ground,Wire,,,Yes,,0.06,,,Orientation=vertical
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,0.063 m x 0.063 m x 0.000025 m,0.0000125,0.063,1300,0.25,1500,600,1.28E-07,1950000,1300,0.25,1500,1950000,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.32E-05,4.10E-05,1.536585366,0.997444842,0.64913077,5620.135196,34500,,,Cylindrical,305 mm diameter; 610 mm height,0,Drop Tower,Wire,,,Yes,,0.042,,,Orientation=vertical
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,0.063 m x 0.063 m x 0.000025 m,0.0000125,0.063,1300,0.25,1500,600,1.28E-07,1950000,1300,0.25,1500,1950000,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.32E-05,4.10E-05,1.536585366,0.997444842,0.64913077,5620.135196,34500,,,Cylindrical,305 mm diameter; 610 mm height,1,Ground,Wire,,,Yes,,0.056,,,Orientation=vertical
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,0.063 m x 0.063 m x 0.000025 m,0.0000125,0.063,1300,0.25,1500,600,1.28E-07,1950000,1300,0.25,1500,1950000,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.32E-05,4.10E-05,1.536585366,0.997444842,0.64913077,5620.135196,34500,,,Cylindrical,305 mm diameter; 610 mm height,0,Drop Tower,Wire,,,Yes,,0.043,,,Orientation=vertical
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,0.063 m x 0.063 m x 0.000051 m,0.0000255,0.063,1300,0.25,1500,600,1.28E-07,1950000,1300,0.25,1500,1950000,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.32E-05,4.10E-05,1.536585366,0.997444842,0.64913077,5620.135196,34500,,,Cylindrical,305 mm diameter; 610 mm height,1,Ground,Wire,,,Yes,,0.03,,,Orientation=horizontal
"Andracchio, Charles R., and John C. Aydelott. “Comparison of Flame Spreading over Thin Flat Surfaces in Normal Gravity and Weightlessness in an Oxygen Environment.” NASA Technical Memorandum NASA TM X-1992, 1970.","Charles R. Andracchio, John C. Aydelott",https://ntrs.nasa.gov/citations/19700016396,Flat,0.063 m x 0.063 m x 0.000051 m,0.0000255,0.063,1300,0.25,1500,600,1.28E-07,1950000,1300,0.25,1500,1950000,0.996,N2,0.031984,919.172086,0.026298,0.452975,6.32E-05,4.10E-05,1.536585366,0.997444842,0.64913077,5620.135196,34500,,,Cylindrical,305 mm diameter; 610 mm height,0,Drop Tower,Wire,,,Yes,,0.022,,,Orientation=horizontal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
